trip_id,route_id,service_id,trip_headsign,direction_id
120417,MB,invs_22_02.pex,Ibarbengoa,0
120418,MB,invs_22_02.pex,Etxebarri,1
120419,MB,invs_22_02.pex,Ibarbengoa,0
120420,MB,invs_22_02.pex,Plentzia,0
120421,MB,invs_22_02.pex,Etxebarri,1
120422,MB,invs_22_02.pex,Plentzia,0
120423,MB,invs_22_02.pex,Etxebarri,1
120424,MB,invs_22_02.pex,Plentzia,0
120425,MB,invs_22_02.pex,Etxebarri,1
120426,MB,invs_22_02.pex,Plentzia,0
120427,MB,invs_22_02.pex,Etxebarri,1
120428,MB,invs_22_02.pex,Plentzia,0
120429,MB,invs_22_02.pex,Etxebarri,1
120430,MB,invs_22_02.pex,Kabiezes,0
120431,MB,invs_22_02.pex,Basauri,1
120432,MB,invs_22_02.pex,Kabiezes,0
120433,MB,invs_22_02.pex,Basauri,1
120434,MB,invs_22_02.pex,Kabiezes,0
120435,MB,invs_22_02.pex,Basauri,1
120436,MB,invs_22_02.pex,Kabiezes,0
120437,MB,invs_22_02.pex,Basauri,1
120438,MB,invs_22_02.pex,Kabiezes,0
120439,MB,invs_22_02.pex,Basauri,1
120440,MB,invs_22_02.pex,Kabiezes,0
120441,MB,invs_22_02.pex,Basauri,1
120442,MB,invs_22_02.pex,Kabiezes,0
120443,MB,invs_22_02.pex,Basauri,1
120444,MB,invs_22_02.pex,Kabiezes,0
120445,MB,invs_22_02.pex,Basauri,1
120446,MB,invs_22_02.pex,Kabiezes,0
120447,MB,invs_22_02.pex,Basauri,1
120448,MB,invs_22_02.pex,Etxebarri,1
120449,MB,invs_22_02.pex,Ibarbengoa,0
120450,MB,invs_22_02.pex,Basauri,1
120451,MB,invs_22_02.pex,Kabiezes,0
120452,MB,invs_22_02.pex,Basauri,1
120453,MB,invs_22_02.pex,Kabiezes,0
120454,MB,invs_22_02.pex,Basauri,1
120455,MB,invs_22_02.pex,Kabiezes,0
120456,MB,invs_22_02.pex,Basauri,1
120457,MB,invs_22_02.pex,Kabiezes,0
120458,MB,invs_22_02.pex,Basauri,1
120459,MB,invs_22_02.pex,Kabiezes,0
120460,MB,invs_22_02.pex,Basauri,1
120461,MB,invs_22_02.pex,Kabiezes,0
120462,MB,invs_22_02.pex,Basauri,1
120463,MB,invs_22_02.pex,Kabiezes,0
120464,MB,invs_22_02.pex,Basauri,1
120465,MB,invs_22_02.pex,Kabiezes,0
120466,MB,invs_22_02.pex,Basauri,1
120467,MB,invs_22_02.pex,Kabiezes,0
120468,MB,invs_22_02.pex,Basauri,1
120469,MB,invs_22_02.pex,Kabiezes,0
120470,MB,invs_22_02.pex,Etxebarri,1
120471,MB,invs_22_02.pex,Ibarbengoa,0
120472,MB,invs_22_02.pex,Etxebarri,1
120473,MB,invs_22_02.pex,Ibarbengoa,0
120474,MB,invs_22_02.pex,Etxebarri,1
120475,MB,invs_22_02.pex,Sopela,0
120476,MB,invs_22_02.pex,Plentzia,0
120477,MB,invs_22_02.pex,Etxebarri,1
120478,MB,invs_22_02.pex,Plentzia,0
120479,MB,invs_22_02.pex,Etxebarri,1
120480,MB,invs_22_02.pex,Plentzia,0
120481,MB,invs_22_02.pex,Etxebarri,1
120482,MB,invs_22_02.pex,Etxebarri,1
120483,MB,invs_22_02.pex,Larrabasterra,0
120484,MB,invs_22_02.pex,Etxebarri,1
120485,MB,invs_22_02.pex,Larrabasterra,0
120486,MB,invs_22_02.pex,Etxebarri,1
120487,MB,invs_22_02.pex,Larrabasterra,0
120488,MB,invs_22_02.pex,Sopela,0
120489,MB,invs_22_02.pex,Kabiezes,0
120490,MB,invs_22_02.pex,Basauri,1
120491,MB,invs_22_02.pex,Kabiezes,0
120492,MB,invs_22_02.pex,Basauri,1
120493,MB,invs_22_02.pex,Kabiezes,0
120494,MB,invs_22_02.pex,Basauri,1
120495,MB,invs_22_02.pex,Kabiezes,0
120496,MB,invs_22_02.pex,Basauri,1
120497,MB,invs_22_02.pex,Kabiezes,0
120498,MB,invs_22_02.pex,Etxebarri,1
120499,MB,invs_22_02.pex,Etxebarri,1
120500,MB,invs_22_02.pex,Ibarbengoa,0
120501,MB,invs_22_02.pex,Etxebarri,1
120502,MB,invs_22_02.pex,Plentzia,0
120503,MB,invs_22_02.pex,Etxebarri,1
120504,MB,invs_22_02.pex,Plentzia,0
120505,MB,invs_22_02.pex,Etxebarri,1
120506,MB,invs_22_02.pex,Etxebarri,1
120507,MB,invs_22_02.pex,Larrabasterra,0
120508,MB,invs_22_02.pex,Etxebarri,1
120509,MB,invs_22_02.pex,Larrabasterra,0
120510,MB,invs_22_02.pex,Etxebarri,1
120511,MB,invs_22_02.pex,Larrabasterra,0
120512,MB,invs_22_02.pex,Etxebarri,1
120513,MB,invs_22_02.pex,Etxebarri,1
120514,MB,invs_22_02.pex,Larrabasterra,0
120515,MB,invs_22_02.pex,Etxebarri,1
120516,MB,invs_22_02.pex,Larrabasterra,0
120517,MB,invs_22_02.pex,Sopela,0
120518,MB,invs_22_02.pex,Etxebarri,1
120519,MB,invs_22_02.pex,Etxebarri,1
120520,MB,invs_22_02.pex,Ibarbengoa,0
120521,MB,invs_22_02.pex,Etxebarri,1
120522,MB,invs_22_02.pex,Ibarbengoa,0
120523,MB,invs_22_02.pex,Sopela,0
120524,MB,invs_22_02.pex,Plentzia,0
120525,MB,invs_22_02.pex,Etxebarri,1
120526,MB,invs_22_02.pex,Plentzia,0
120527,MB,invs_22_02.pex,Etxebarri,1
120528,MB,invs_22_02.pex,Etxebarri,1
120529,MB,invs_22_02.pex,Ibarbengoa,0
120530,MB,invs_22_02.pex,Etxebarri,1
120531,MB,invs_22_02.pex,Ibarbengoa,0
120532,MB,invs_22_02.pex,Etxebarri,1
120533,MB,invs_22_02.pex,Plentzia,0
120534,MB,invs_22_02.pex,Etxebarri,1
120535,MB,invs_22_02.pex,Plentzia,0
120536,MB,invs_22_02.pex,Etxebarri,1
120537,MB,invs_22_02.pex,Plentzia,0
120538,MB,invs_22_02.pex,Etxebarri,1
120539,MB,invs_22_02.pex,Basauri,1
94560,MB,invl_22_02.pex,Etxebarri,1
94561,MB,invl_22_02.pex,Larrabasterra,0
94562,MB,invl_22_02.pex,Etxebarri,1
94563,MB,invl_22_02.pex,Ibarbengoa,0
94564,MB,invl_22_02.pex,Etxebarri,1
94565,MB,invl_22_02.pex,Ibarbengoa,0
94566,MB,invl_22_02.pex,Etxebarri,1
94567,MB,invl_22_02.pex,Larrabasterra,0
94568,MB,invl_22_02.pex,Sopela,0
94569,MB,invl_22_02.pex,Plentzia,0
94570,MB,invl_22_02.pex,Etxebarri,1
94571,MB,invl_22_02.pex,Plentzia,0
94572,MB,invl_22_02.pex,Etxebarri,1
94573,MB,invl_22_02.pex,Plentzia,0
94574,MB,invl_22_02.pex,Etxebarri,1
94575,MB,invl_22_02.pex,Plentzia,0
94576,MB,invl_22_02.pex,Etxebarri,1
94577,MB,invl_22_02.pex,Plentzia,0
94578,MB,invl_22_02.pex,Etxebarri,1
94579,MB,invl_22_02.pex,Basauri,1
94580,MB,invl_22_02.pex,Kabiezes,0
94581,MB,invl_22_02.pex,Basauri,1
94582,MB,invl_22_02.pex,Kabiezes,0
94583,MB,invl_22_02.pex,Basauri,1
94584,MB,invl_22_02.pex,Kabiezes,0
94585,MB,invl_22_02.pex,Basauri,1
94586,MB,invl_22_02.pex,Kabiezes,0
94587,MB,invl_22_02.pex,Basauri,1
94588,MB,invl_22_02.pex,Kabiezes,0
94589,MB,invl_22_02.pex,Basauri,1
94590,MB,invl_22_02.pex,Kabiezes,0
94591,MB,invl_22_02.pex,Basauri,1
94592,MB,invl_22_02.pex,Kabiezes,0
94593,MB,invl_22_02.pex,Basauri,1
94594,MB,invl_22_02.pex,Kabiezes,0
94595,MB,invl_22_02.pex,Basauri,1
94596,MB,invl_22_02.pex,Kabiezes,0
94597,MB,invl_22_02.pex,Basauri,1
94598,MB,invl_22_02.pex,Kabiezes,0
94599,MB,invl_22_02.pex,Basauri,1
94600,MB,invl_22_02.pex,Etxebarri,1
94601,MB,invl_22_02.pex,Ibarbengoa,0
94602,MB,invl_22_02.pex,Plentzia,0
94603,MB,invl_22_02.pex,Etxebarri,1
94604,MB,invl_22_02.pex,Sopela,0
94605,MB,invl_22_02.pex,Basauri,1
94606,MB,invl_22_02.pex,Kabiezes,0
94607,MB,invl_22_02.pex,Basauri,1
94608,MB,invl_22_02.pex,Kabiezes,0
94609,MB,invl_22_02.pex,Basauri,1
94610,MB,invl_22_02.pex,Kabiezes,0
94611,MB,invl_22_02.pex,Basauri,1
94612,MB,invl_22_02.pex,Kabiezes,0
94613,MB,invl_22_02.pex,Basauri,1
94614,MB,invl_22_02.pex,Kabiezes,0
94615,MB,invl_22_02.pex,Basauri,1
94616,MB,invl_22_02.pex,Kabiezes,0
94617,MB,invl_22_02.pex,Basauri,1
94618,MB,invl_22_02.pex,Kabiezes,0
94619,MB,invl_22_02.pex,Basauri,1
94620,MB,invl_22_02.pex,Kabiezes,0
94621,MB,invl_22_02.pex,Basauri,1
94622,MB,invl_22_02.pex,Kabiezes,0
94623,MB,invl_22_02.pex,Basauri,1
94624,MB,invl_22_02.pex,Kabiezes,0
94625,MB,invl_22_02.pex,Basauri,1
94626,MB,invl_22_02.pex,Plentzia,0
94627,MB,invl_22_02.pex,Kabiezes,0
94628,MB,invl_22_02.pex,Basauri,1
94629,MB,invl_22_02.pex,Kabiezes,0
94630,MB,invl_22_02.pex,Basauri,1
94631,MB,invl_22_02.pex,Kabiezes,0
94632,MB,invl_22_02.pex,Basauri,1
94633,MB,invl_22_02.pex,Kabiezes,0
94634,MB,invl_22_02.pex,Basauri,1
94635,MB,invl_22_02.pex,Kabiezes,0
